delta_A_what_to_what|free_energy(kcal/mol)|bar_std
(1.0, 0.0, 0.0) to (1.0, 0.02, 0.0)|2.5715274406088526|0.0018982572779935253
(1.0, 0.02, 0.0) to (1.0, 0.04, 0.0)|2.5273228886001227|0.0018815463408045701
(1.0, 0.04, 0.0) to (1.0, 0.06, 0.0)|2.495989922098762|0.0018639347660246585
(1.0, 0.06, 0.0) to (1.0, 0.08, 0.0)|2.4366704531364176|0.0019282818506212054
(1.0, 0.08, 0.0) to (1.0, 0.1, 0.0)|2.350429850338932|0.001882014053629638
(1.0, 0.1, 0.0) to (1.0, 0.12, 0.0)|2.297776418887762|0.0018925745082188404
(1.0, 0.12, 0.0) to (1.0, 0.14, 0.0)|2.2647392836537708|0.0019012885597079858
(1.0, 0.14, 0.0) to (1.0, 0.16, 0.0)|2.225218865528166|0.0018860155774469878
(1.0, 0.16, 0.0) to (1.0, 0.18, 0.0)|2.14916990548837|0.001971687304728453
(1.0, 0.18, 0.0) to (1.0, 0.2, 0.0)|2.0411520562445387|0.0020170611899612344
(1.0, 0.2, 0.0) to (1.0, 0.22, 0.0)|1.9577148721507731|0.001928249001462133
(1.0, 0.22, 0.0) to (1.0, 0.24, 0.0)|1.9487043955261305|0.001836020730532117
(1.0, 0.24, 0.0) to (1.0, 0.26, 0.0)|1.9260524209021075|0.0019370257864846938
(1.0, 0.26, 0.0) to (1.0, 0.28, 0.0)|1.8055918627779861|0.001983819546997276
(1.0, 0.28, 0.0) to (1.0, 0.3, 0.0)|1.647895654826402|0.0019898653006326455
(1.0, 0.3, 0.0) to (1.0, 0.32, 0.0)|1.6060185990401996|0.0018023638472322264
(1.0, 0.32, 0.0) to (1.0, 0.34, 0.0)|1.6566795233013063|0.0018588785738816408
(1.0, 0.34, 0.0) to (1.0, 0.36, 0.0)|1.6415443853927656|0.0019499173357098243
(1.0, 0.36, 0.0) to (1.0, 0.38, 0.0)|1.5261590759811594|0.002026947564973301
(1.0, 0.38, 0.0) to (1.0, 0.4, 0.0)|1.3530720866554256|0.002029910191238211
(1.0, 0.4, 0.0) to (1.0, 0.42, 0.0)|1.2911700482443536|0.0018506842825465348
(1.0, 0.42, 0.0) to (1.0, 0.44, 0.0)|1.3488347960504417|0.0018290716292058582
(1.0, 0.44, 0.0) to (1.0, 0.46, 0.0)|1.3487842577153035|0.0019251931548355217
(1.0, 0.46, 0.0) to (1.0, 0.48, 0.0)|1.2125571719268449|0.0020204787275420193
(1.0, 0.48, 0.0) to (1.0, 0.5, 0.0)|0.9939155132020232|0.002055568028402451
(1.0, 0.5, 0.0) to (1.0, 0.52, 0.0)|0.9275505049274885|0.0018171157702685757
(1.0, 0.52, 0.0) to (1.0, 0.54, 0.0)|1.0326186473973236|0.0017883807213531354
(1.0, 0.54, 0.0) to (1.0, 0.56, 0.0)|1.066035921620704|0.0018812300474434676
(1.0, 0.56, 0.0) to (1.0, 0.58, 0.0)|0.9209248924722556|0.0020179526244221255
(1.0, 0.58, 0.0) to (1.0, 0.6, 0.0)|0.6814179181946438|0.0020131856940606182
(1.0, 0.6, 0.0) to (1.0, 0.62, 0.0)|0.6285100273567126|0.0017301207080210315
(1.0, 0.62, 0.0) to (1.0, 0.64, 0.0)|0.7650567123025039|0.001708697619120968
(1.0, 0.64, 0.0) to (1.0, 0.66, 0.0)|0.8242988617798951|0.0018239991555779194
(1.0, 0.66, 0.0) to (1.0, 0.68, 0.0)|0.6738438268658283|0.002011181367188297
(1.0, 0.68, 0.0) to (1.0, 0.7, 0.0)|0.40801295257684544|0.0020041495310092463
(1.0, 0.7, 0.0) to (1.0, 0.72, 0.0)|0.3666011813230559|0.0016950606000823822
(1.0, 0.72, 0.0) to (1.0, 0.74, 0.0)|0.5400974562279125|0.0016792587692995768
(1.0, 0.74, 0.0) to (1.0, 0.76, 0.0)|0.6047473066792759|0.0017984168819158788
(1.0, 0.76, 0.0) to (1.0, 0.78, 0.0)|0.4449715285800958|0.0019580248005820707
(1.0, 0.78, 0.0) to (1.0, 0.8, 0.0)|0.16328024624099544|0.0019578207399504896
(1.0, 0.8, 0.0) to (1.0, 0.82, 0.0)|0.12787905894322552|0.0015887739877845474
(1.0, 0.82, 0.0) to (1.0, 0.84, 0.0)|0.34370127522058985|0.0015727452070867002
(1.0, 0.84, 0.0) to (1.0, 0.86, 0.0)|0.42142177606588826|0.001784970690374685
(1.0, 0.86, 0.0) to (1.0, 0.88, 0.0)|0.23361953342004343|0.001967866765772842
(1.0, 0.88, 0.0) to (1.0, 0.9, 0.0)|-0.08478234082944837|0.001953850733895767
(1.0, 0.9, 0.0) to (1.0, 0.92, 0.0)|-0.11468799870732228|0.0015397464723129312
(1.0, 0.92, 0.0) to (1.0, 0.94, 0.0)|0.15210929517080007|0.0015318703739931271
(1.0, 0.94, 0.0) to (1.0, 0.96, 0.0)|0.27600235472311274|0.0017370801308717616
(1.0, 0.96, 0.0) to (1.0, 0.98, 0.0)|0.008015231096078592|0.0024295788841841325
(1.0, 0.98, 0.0) to (1.0, 1.0, 0.0)|-0.7798549988836301|0.004866966557567922
(1.0, 0.0, 0.0) to (1.0, 1.0, 0.0)|57.25608291904379|0.014074910057330702
