times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
0.0|1.0|1.0|0.0|-164499.8835263399|-164499.3538032996|-164498.76101799269
0.2|1.0|1.0|0.0|-164213.6760273201|-164213.31026617327|-164212.90666766642
0.4|1.0|1.0|0.0|-164349.00753161582|-164348.28862177551|-164347.50664966847
0.6|1.0|1.0|0.0|-164159.32443803|-164158.5929157363|-164157.7857187226
0.8|1.0|1.0|0.0|-164201.22300802285|-164201.1473333028|-164200.99598386273
1.0|1.0|1.0|0.0|-164040.59080229464|-164040.36377813452|-164040.08630416106
1.2|1.0|1.0|0.0|-164211.4946585849|-164211.29285933147|-164211.053222718
1.4|1.0|1.0|0.0|-164170.75214826383|-164170.52512410373|-164170.24765013024
1.6|1.0|1.0|0.0|-164387.10183439052|-164387.11444684386|-164387.05138457715
1.8|1.0|1.0|0.0|-164781.56365640345|-164781.42491941675|-164781.2231201633
2.0|1.0|1.0|0.0|-164688.5347940358|-164688.63569366248|-164688.68614347585
2.2|1.0|1.0|0.0|-164405.99061433077|-164405.51134110388|-164404.99423051695
2.4|1.0|1.0|0.0|-164361.14869451543|-164360.82077072863|-164360.44239712844
2.6|1.0|1.0|0.0|-164647.26219851547|-164646.51806376845|-164645.73609166144
2.8|1.0|1.0|0.0|-164595.02858273446|-164594.72588385432|-164594.3601227075
3.0|1.0|1.0|0.0|-164716.8068178876|-164716.60501863417|-164716.36538202074
3.2|1.0|1.0|0.0|-164569.36120665248|-164568.8567085189|-164568.28914811864
3.4|1.0|1.0|0.0|-164462.03090493966|-164461.45073208606|-164460.84533432577
3.6|1.0|1.0|0.0|-164310.44078092|-164309.88583297306|-164309.2804352128
3.8|1.0|1.0|0.0|-164428.71221304827|-164427.77889150116|-164426.7951201407
4.0|1.0|1.0|0.0|-164311.99571932788|-164311.39032156763|-164310.7092490873
4.2|1.0|1.0|0.0|-164631.71662459124|-164630.85897776415|-164629.97610603043
4.4|1.0|1.0|0.0|-164329.91763037175|-164329.51403186494|-164329.05998354472
4.6|1.0|1.0|0.0|-164427.8405111332|-164427.29817563962|-164426.70539033265
4.8|1.0|1.0|0.0|-164508.39284887278|-164508.00186281925|-164507.57303940572
5.0|1.0|1.0|0.0|-164924.65713808313|-164924.354439203|-164924.02651541616
5.2|1.0|1.0|0.0|-164684.01809887827|-164683.3874762113|-164682.70640373096
5.4|1.0|1.0|0.0|-164699.53502507627|-164699.23232619616|-164698.85395259596
5.6|1.0|1.0|0.0|-164612.3404354627|-164611.83593732916|-164611.2683769289
5.8|1.0|1.0|0.0|-164950.77564640678|-164950.77564640678|-164950.73780904678
6.0|1.0|1.0|0.0|-164689.26842027888|-164688.96572139874|-164688.6251851586
6.2|1.0|1.0|0.0|-164411.34039849602|-164411.08814942924|-164410.7602256424
6.4|1.0|1.0|0.0|-164524.08407574627|-164523.70570214608|-164523.26426627924
6.6|1.0|1.0|0.0|-164495.31482515618|-164494.89861419602|-164494.4193409691
6.8|1.0|1.0|0.0|-164215.5453851858|-164215.0030496922|-164214.39765193194
7.0|1.0|1.0|0.0|-164425.53470128178|-164425.2572273083|-164424.91669106815
7.2|1.0|1.0|0.0|-164641.11936620894|-164640.62748052867|-164640.07253258178
7.4|1.0|1.0|0.0|-164611.56849675527|-164610.88742427496|-164610.18112688794
7.6|1.0|1.0|0.0|-164701.2934898104|-164700.30971844995|-164699.25027236945
7.8|1.0|1.0|0.0|-164514.49515712276|-164513.59967293567|-164512.64112648187
8.0|1.0|1.0|0.0|-164476.01864190068|-164475.7663928339|-164475.4258565937
8.2|1.0|1.0|0.0|-164558.55453655246|-164558.64282372585|-164558.6554361792
8.4|1.0|1.0|0.0|-164423.8106861638|-164423.41970011027|-164422.96565179006
8.6|1.0|1.0|0.0|-164844.02879386573|-164843.4107836521|-164842.7297111718
8.8|1.0|1.0|0.0|-164504.3571163116|-164503.65081892462|-164502.8940717243
9.0|1.0|1.0|0.0|-164389.86126489827|-164389.60901583146|-164389.29370449798
9.2|1.0|1.0|0.0|-164422.62150362832|-164422.18006776148|-164421.6755696279
9.4|1.0|1.0|0.0|-164464.89256826817|-164464.45113240127|-164463.9340218144
9.6|1.0|1.0|0.0|-164319.60997823183|-164319.48385369845|-164319.282054445
9.8|1.0|1.0|0.0|-164513.93759375287|-164513.79885676614|-164513.58444505936
10.0|1.0|1.0|0.0|-164611.99982555216|-164611.64667685868|-164611.23046589846
10.2|1.0|1.0|0.0|-164499.35033317303|-164499.16114637296|-164498.90889730616
10.4|1.0|1.0|0.0|-164229.30509472714|-164228.90149622032|-164228.42222299342
10.6|1.0|1.0|0.0|-164636.99140209905|-164636.47429151213|-164635.88150620522
10.8|1.0|1.0|0.0|-164815.95743706127|-164815.61690082107|-164815.21330231425
11.0|1.0|1.0|0.0|-164392.13370816907|-164391.5030855021|-164390.7967881151
11.2|1.0|1.0|0.0|-164448.76362366212|-164448.5870493154|-164448.33480024862
11.4|1.0|1.0|0.0|-164038.53762062688|-164038.0331224933|-164037.46556209304
11.6|1.0|1.0|0.0|-164347.2966090707|-164346.9182354705|-164346.489412057
11.8|1.0|1.0|0.0|-164284.60661677082|-164284.02644391722|-164283.3832087969
12.0|1.0|1.0|0.0|-164218.62655245897|-164218.09682941873|-164217.49143165842
12.2|1.0|1.0|0.0|-164420.57617634488|-164419.98339103794|-164419.32754346431
12.4|1.0|1.0|0.0|-163926.21845526114|-163925.99143110105|-163925.73918203425
12.6|1.0|1.0|0.0|-163848.88901843916|-163848.76289390578|-163848.58631955902
12.8|1.0|1.0|0.0|-164016.5633857928|-164016.42464880607|-164016.24807445932
13.0|1.0|1.0|0.0|-163928.64053763787|-163928.24955158436|-163927.8207281708
13.2|1.0|1.0|0.0|-164073.4608287933|-164072.76714385964|-164072.03562156597
13.4|1.0|1.0|0.0|-164334.65423886923|-164334.08667846897|-164333.49389316203
13.6|1.0|1.0|0.0|-164336.3793351548|-164335.6982626745|-164334.96674038083
13.8|1.0|1.0|0.0|-164150.70801153372|-164150.35486284024|-164149.95126433336
14.0|1.0|1.0|0.0|-164218.53975007552|-164217.98480212857|-164217.3794043683
14.2|1.0|1.0|0.0|-164287.6157915875|-164286.99778137388|-164286.30409644023
14.4|1.0|1.0|0.0|-164277.41873425155|-164277.16648518477|-164276.8259489446
14.6|1.0|1.0|0.0|-164443.89506560008|-164443.9202905068|-164443.86984069343
14.8|1.0|1.0|0.0|-164598.96656192653|-164598.87827475314|-164598.75215021972
15.0|1.0|1.0|0.0|-164268.69775167224|-164268.34460297876|-164267.91577956526
15.2|1.0|1.0|0.0|-164186.68562784503|-164186.53427840496|-164186.30725424486
15.4|1.0|1.0|0.0|-163988.79828649174|-163988.52081251828|-163988.18027627812
15.6|1.0|1.0|0.0|-164327.7923162383|-164327.37610527812|-164326.92205695793
15.8|1.0|1.0|0.0|-164102.00591249665|-164101.77888833653|-164101.4761894564
16.0|1.0|1.0|0.0|-164226.9694191831|-164226.6919452096|-164226.3514089695
16.2|1.0|1.0|0.0|-164097.97942995926|-164097.71456843914|-164097.41186955897
16.4|1.0|1.0|0.0|-164461.99051685608|-164461.51124362918|-164460.9689081356
16.6|1.0|1.0|0.0|-164448.9618525567|-164448.91140274334|-164448.82311556995
16.8|1.0|1.0|0.0|-164165.2673020974|-164165.16640247067|-164164.97721567057
17.0|1.0|1.0|0.0|-164533.09689128216|-164532.41581880185|-164531.6590716015
17.2|1.0|1.0|0.0|-164137.25664969106|-164137.02962553097|-164136.7521515575
17.4|1.0|1.0|0.0|-164124.37088966116|-164123.77810435422|-164123.1348692339
17.6|1.0|1.0|0.0|-164291.5103550492|-164290.77883275552|-164289.99686064848
17.8|1.0|1.0|0.0|-164583.0053249399|-164582.85397549983|-164582.6521762464
18.0|1.0|1.0|0.0|-164450.6754645049|-164450.37276562475|-164450.01961693127
18.2|1.0|1.0|0.0|-164350.2129860819|-164349.70848794834|-164349.1535400014
18.4|1.0|1.0|0.0|-164445.692934247|-164445.6677093403|-164445.5668097136
18.6|1.0|1.0|0.0|-164361.47528032295|-164361.08429426947|-164360.63024594923
18.8|1.0|1.0|0.0|-164409.7589724816|-164409.4310486948|-164409.02745018792
19.0|1.0|1.0|0.0|-164707.3405578329|-164706.7603849793|-164706.117149859
19.2|1.0|1.0|0.0|-164428.47509560885|-164428.08410955535|-164427.6805110485
19.4|1.0|1.0|0.0|-164734.39034317725|-164734.35250581722|-164734.22638128384
19.6|1.0|1.0|0.0|-164580.10715906267|-164579.7287854625|-164579.32518695563
19.8|1.0|1.0|0.0|-164528.54744981194|-164528.25736338517|-164527.916827145
20.0|1.0|1.0|0.0|-164480.41832786953|-164480.22914106943|-164479.97689200265
20.2|1.0|1.0|0.0|-164415.0008939413|-164414.18108447423|-164413.29821274048
20.4|1.0|1.0|0.0|-164819.8195582986|-164819.2141605383|-164818.57092541803
20.6|1.0|1.0|0.0|-164404.0626464248|-164403.81039735803|-164403.53292338457
20.8|1.0|1.0|0.0|-164485.95411887797|-164486.1559181314|-164486.2820426648
21.0|1.0|1.0|0.0|-164671.19212458673|-164670.8011385332|-164670.347090213
21.2|1.0|1.0|0.0|-164414.8490245804|-164414.63461287363|-164414.38236380686
21.4|1.0|1.0|0.0|-164638.00696346184|-164637.72948948838|-164637.40156570156
21.6|1.0|1.0|0.0|-164583.08399893047|-164583.2857981839|-164583.38669781064
21.8|1.0|1.0|0.0|-164607.22423462174|-164607.13594744838|-164607.0224353683
22.0|1.0|1.0|0.0|-164513.5515436714|-164512.7821840177|-164511.96237455067
22.2|1.0|1.0|0.0|-164481.60474642637|-164481.21376037286|-164480.772324506
22.4|1.0|1.0|0.0|-164637.49466969905|-164637.15413345883|-164636.7757598587
22.6|1.0|1.0|0.0|-164652.16535929465|-164651.35816228096|-164650.51312790724
22.8|1.0|1.0|0.0|-164312.7660417404|-164312.21109379345|-164311.6056960332
23.0|1.0|1.0|0.0|-164313.54801384744|-164312.87955382044|-164312.16064398008
23.2|1.0|1.0|0.0|-164330.24970849935|-164329.98484697923|-164329.6821480991
23.4|1.0|1.0|0.0|-164321.32077833347|-164320.89195491993|-164320.41268169307
23.6|1.0|1.0|0.0|-164507.56624982817|-164507.37706302808|-164507.13742641464
23.8|1.0|1.0|0.0|-164235.78477649798|-164235.26766591106|-164234.7001055108
24.0|1.0|1.0|0.0|-164513.001259|-164512.49676086646|-164511.94181291954
24.2|1.0|1.0|0.0|-164452.74166548846|-164451.95969338142|-164451.127271461
24.4|1.0|1.0|0.0|-164374.99850310554|-164374.5444547853|-164374.02734419843
24.6|1.0|1.0|0.0|-164121.76685316712|-164121.65334108708|-164121.48937919366
24.8|1.0|1.0|0.0|-164582.25176832074|-164581.8860071739|-164581.4697962137
25.0|1.0|1.0|0.0|-164579.3018468925|-164578.75951139888|-164578.15411363862
25.2|1.0|1.0|0.0|-164392.0699770719|-164391.66637856502|-164391.22494269817
25.4|1.0|1.0|0.0|-164773.69759020978|-164773.26876679625|-164772.78949356935
25.6|1.0|1.0|0.0|-164530.34030302966|-164530.10066641623|-164529.79796753608
25.8|1.0|1.0|0.0|-164467.5428978537|-164467.12668689352|-164466.66002611996
26.0|1.0|1.0|0.0|-164136.14863483084|-164135.49278725722|-164134.76126496354
26.2|1.0|1.0|0.0|-164472.42213540146|-164471.53926366774|-164470.60594212063
26.4|1.0|1.0|0.0|-164424.73138528256|-164424.28994941572|-164423.78545128214
