times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.08, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.12, 0.0)|(1.0, 0.14, 0.0)|(1.0, 0.16, 0.0)
0.0|1.0|0.12|0.0|-164389.8844088793|-164386.13851023756|-164382.41783650249|-164378.64671295407|-164374.8629769523
0.2|1.0|0.12|0.0|-164388.2886345631|-164384.6184106414|-164380.97341162636|-164377.2527378913|-164373.56990151625
0.4|1.0|0.12|0.0|-164422.8039188335|-164418.70487149825|-164414.6310490697|-164410.49416437442|-164406.36989213253
0.6|1.0|0.12|0.0|-164310.81978946956|-164306.9351538411|-164303.05051821264|-164299.12804522415|-164295.218184689
0.8|1.0|0.12|0.0|-164481.54841839886|-164477.65117031705|-164473.76653468856|-164469.84406170005|-164465.90897625822
1.0|1.0|0.12|0.0|-164319.36024904475|-164315.2485892562|-164311.14954192095|-164307.00004477234|-164302.8631600771
1.2|1.0|0.12|0.0|-164558.01414484123|-164554.15473411942|-164550.307935851|-164546.4233002225|-164542.55127704734
1.4|1.0|0.12|0.0|-164456.5257163077|-164452.47711878578|-164448.44113371725|-164444.35469883532|-164440.2934888601
1.6|1.0|0.12|0.0|-164243.2709657063|-164239.46200479788|-164235.6530438894|-164231.79363316763|-164227.93422244585
1.8|1.0|0.12|0.0|-164393.7356651718|-164389.80057972998|-164385.8781067415|-164381.90518393964|-164377.9322611378
2.0|1.0|0.12|0.0|-164115.55573620283|-164111.67110057434|-164107.83691475922|-164103.92705422407|-164100.0298061423
2.2|1.0|0.12|0.0|-164385.20998859516|-164381.4514775001|-164377.70557885832|-164373.90923040322|-164370.15071930815
2.4|1.0|0.12|0.0|-164322.83463945705|-164318.4707306017|-164314.13204665302|-164309.74291289094|-164305.35377912893
2.6|1.0|0.12|0.0|-164210.0730952782|-164206.16323474306|-164202.27859911456|-164198.3435136727|-164194.42104068428
2.8|1.0|0.12|0.0|-164130.98763185326|-164127.59488190504|-164124.21474441013|-164120.7715446485|-164117.35356979357
3.0|1.0|0.12|0.0|-164172.01594256575|-164168.06824467058|-164164.1583841354|-164160.1728488802|-164156.2125385317
3.2|1.0|0.12|0.0|-163917.10564812692|-163912.81741399158|-163908.55440476292|-163904.2283332676|-163899.90226177222
3.4|1.0|0.12|0.0|-164207.60897962045|-164203.23245831177|-164198.84332454973|-164194.428965881|-164190.01460721227
3.6|1.0|0.12|0.0|-164515.0516143108|-164510.56158092205|-164506.1093848933|-164501.59412659786|-164497.09148075574
3.8|1.0|0.12|0.0|-164373.17829616295|-164369.41978506788|-164365.68649887946|-164361.877537971|-164358.09380196923
4.0|1.0|0.12|0.0|-164303.31960929438|-164299.15749969243|-164295.0332274505|-164290.85850539524|-164286.6963957933
4.2|1.0|0.12|0.0|-164253.20773013504|-164248.95733335972|-164244.7321614911|-164240.44392735575|-164236.1809181271
4.4|1.0|0.12|0.0|-164312.96943230776|-164308.479398919|-164304.01459043694|-164299.47410723483|-164294.9714613927
4.6|1.0|0.12|0.0|-164265.5970575657|-164261.27098607033|-164256.97013948168|-164252.61884307966|-164248.28015913095
4.8|1.0|0.12|0.0|-164351.75861219276|-164347.65956485752|-164343.56051752227|-164339.42363282703|-164335.29936058508
5.0|1.0|0.12|0.0|-164371.05566580174|-164366.89355619982|-164362.75667150455|-164358.54411208924|-164354.3820024873
5.2|1.0|0.12|0.0|-164268.0099274082|-164263.75953063287|-164259.53435876424|-164255.2335121756|-164250.97050294693
5.4|1.0|0.12|0.0|-164360.6357847314|-164356.49890003612|-164352.36201534086|-164348.17468083225|-164343.99995877696
5.6|1.0|0.12|0.0|-164551.90363962052|-164548.04422889874|-164544.19743063027|-164540.2875700951|-164536.41554691998
5.8|1.0|0.12|0.0|-164364.77266942663|-164360.76190926478|-164356.73853664956|-164352.664714221|-164348.6161166991
6.0|1.0|0.12|0.0|-164560.73357329873|-164556.52101388344|-164552.3336793748|-164548.07067014615|-164543.85811073086
6.2|1.0|0.12|0.0|-164581.63219472882|-164577.82323382038|-164574.0647227253|-164570.25576181684|-164566.44680090842
6.4|1.0|0.12|0.0|-164677.78315200275|-164674.02464090768|-164670.29135471926|-164666.5076187175|-164662.72388271574
6.6|1.0|0.12|0.0|-164913.9921497489|-164910.2588635605|-164906.57602718545|-164902.80490363704|-164899.084229902
6.8|1.0|0.12|0.0|-164605.22371583982|-164601.56610437148|-164597.92110535645|-164594.2130440747|-164590.542820153
7.0|1.0|0.12|0.0|-164673.78855179803|-164669.42464294267|-164665.07334654062|-164660.67160032524|-164656.29507901653
7.2|1.0|0.12|0.0|-164771.56029008358|-164767.36034312163|-164763.21084597305|-164758.97306165105|-164754.78572714244
7.4|1.0|0.12|0.0|-164651.5097684129|-164647.347658811|-164643.21077411572|-164639.02343960712|-164634.84871755182
7.6|1.0|0.12|0.0|-164603.33019665713|-164599.45817348198|-164595.5987627602|-164591.67628977168|-164587.77904168988
7.8|1.0|0.12|0.0|-164824.2247044401|-164820.21394427825|-164816.20318411634|-164812.14197414112|-164808.11860152593
8.0|1.0|0.12|0.0|-164657.97040548202|-164653.5560468133|-164649.1795255046|-164644.72732947583|-164640.3003583538
8.2|1.0|0.12|0.0|-164788.44105411868|-164784.6825430236|-164780.9492568352|-164777.16552083343|-164773.3817848317
8.4|1.0|0.12|0.0|-164717.9436414246|-164713.7058571026|-164709.44284787396|-164705.15461373862|-164700.8663796033
8.6|1.0|0.12|0.0|-164727.88023378025|-164724.3235219386|-164720.79203500363|-164717.1848733486|-164713.60293660028
8.8|1.0|0.12|0.0|-164591.42476669734|-164588.01940429577|-164584.66449170755|-164581.2339043993|-164577.81592954436
9.0|1.0|0.12|0.0|-164790.34079618313|-164786.43093564798|-164782.52107511283|-164778.57337721766|-164774.6256793225
9.2|1.0|0.12|0.0|-164746.05387522234|-164741.9548278871|-164737.85578055185|-164733.71889585658|-164729.58201116134
9.4|1.0|0.12|0.0|-164384.13274487088|-164380.5003583092|-164376.88058420082|-164373.22297273247|-164369.56536126407
9.6|1.0|0.12|0.0|-164730.0148142508|-164726.39504014244|-164722.78787848743|-164719.15549192575|-164715.51049291072
9.8|1.0|0.12|0.0|-164363.20683378648|-164359.19607362463|-164355.2357632761|-164351.2123906609|-164347.1890180457
10.0|1.0|0.12|0.0|-164445.117968196|-164441.27116992755|-164437.4495965658|-164433.5649609373|-164429.7055502155
10.2|1.0|0.12|0.0|-164153.32438113046|-164149.37668323528|-164145.4542102468|-164141.48128744494|-164137.5083646431
10.4|1.0|0.12|0.0|-164267.0130355301|-164262.7248013948|-164258.44917971277|-164254.14833312415|-164249.83487408212
10.6|1.0|0.12|0.0|-163884.09962889785|-163879.9249068426|-163875.76279724063|-163871.53762537197|-163867.3502908634
10.8|1.0|0.12|0.0|-164032.7414651309|-164028.79376723574|-164024.84606934057|-164020.86053408537|-164016.87499883017
11.0|1.0|0.12|0.0|-163910.1779065103|-163905.92750973502|-163901.70233786636|-163897.41410373105|-163893.13848204905
11.2|1.0|0.12|0.0|-163971.960615334|-163967.74805591872|-163963.53549650343|-163959.27248727478|-163955.02209049946
11.4|1.0|0.12|0.0|-163742.46441437374|-163738.6302285586|-163734.84649255686|-163730.98708183502|-163727.14028356658
11.6|1.0|0.12|0.0|-163985.04964071844|-163981.48031642346|-163977.91099212848|-163974.30383047345|-163970.69666881845
11.8|1.0|0.12|0.0|-163792.47627120197|-163787.51957703967|-163782.58810778402|-163777.60618871503|-163772.64949455272
12.0|1.0|0.12|0.0|-163903.80121955834|-163899.6643348631|-163895.54006262118|-163891.36534056588|-163887.20323096396
12.2|1.0|0.12|0.0|-163909.46895034533|-163905.10504148994|-163900.74113263458|-163896.32677396585|-163891.9250277505
12.4|1.0|0.12|0.0|-164134.4291777482|-164129.91391945278|-164125.39866115732|-164120.83295304852|-164116.29246984643
12.6|1.0|0.12|0.0|-163744.04222326775|-163739.74137667907|-163735.46575499707|-163731.15229595508|-163726.8262244597
12.8|1.0|0.12|0.0|-164168.19845507183|-164163.70842168306|-164159.2183882943|-164154.6779050922|-164150.16264679676
13.0|1.0|0.12|0.0|-163886.4212394597|-163882.1708426844|-163877.94567081577|-163873.64482422709|-163869.39442745177
13.2|1.0|0.12|0.0|-164081.6267090237|-164077.12406318157|-164072.65925469948|-164068.1187714974|-164063.60351320193
13.4|1.0|0.12|0.0|-164316.96247588005|-164312.6994666514|-164308.46168232942|-164304.17344819405|-164299.88521405874
13.6|1.0|0.12|0.0|-163941.447710025|-163937.28560042309|-163933.1234908211|-163928.91093140582|-163924.7235968972
13.8|1.0|0.12|0.0|-164120.96478487444|-164116.77745036583|-164112.59011585722|-164108.3397190819|-164104.1271596666
14.0|1.0|0.12|0.0|-164507.58388589846|-164503.34610157652|-164499.10831725452|-164494.80747066584|-164490.5444614372
14.2|1.0|0.12|0.0|-164144.0196286306|-164140.05931828212|-164136.09900793358|-164132.10086022507|-164128.10271251653
14.4|1.0|0.12|0.0|-164171.59679083727|-164166.91757064842|-164162.28880027297|-164157.59696763076|-164152.9177474419
