times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.94, 0.0)|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
0.0|1.0|0.98|0.0|-164124.29878384576|-164124.2231091257|-164124.17265931235|-164124.07175968564
0.2|1.0|0.98|0.0|-164398.3638374148|-164397.82150192122|-164397.3043913343|-164396.7242184807
0.4|1.0|0.98|0.0|-164300.73681923928|-164300.00529694557|-164299.2737746519|-164298.51702745157
0.6|1.0|0.98|0.0|-164188.44814716026|-164188.1958980935|-164187.94364902668|-164187.65356259988
0.8|1.0|0.98|0.0|-164089.67697092748|-164089.1724727939|-164088.69319956703|-164088.16347652677
1.0|1.0|0.98|0.0|-163786.55500570784|-163786.151407201|-163785.76042114748|-163785.30637282724
1.2|1.0|0.98|0.0|-164269.18314518614|-164268.4894602525|-164267.80838777215|-164267.08947793182
1.4|1.0|0.98|0.0|-164029.59217002246|-164028.98677226217|-164028.41921186188|-164027.7759767416
1.6|1.0|0.98|0.0|-164046.1398476743|-164045.40832538062|-164044.70202799363|-164043.94528079327
1.8|1.0|0.98|0.0|-163865.62671497403|-163865.10960438714|-163864.65555606692|-163864.11322057332
2.0|1.0|0.98|0.0|-163778.89587871745|-163778.46705530392|-163778.0508443437|-163777.58418357014
2.2|1.0|0.98|0.0|-164220.8236312701|-164220.2434584165|-164219.68851046954|-164219.07050025594
2.4|1.0|0.98|0.0|-163983.59265863427|-163983.28995975413|-163982.98726087398|-163982.6341121805
2.6|1.0|0.98|0.0|-164053.77620977143|-164053.17081201114|-164052.5780267042|-164051.92217913058
2.8|1.0|0.98|0.0|-164092.71063326168|-164092.0421732347|-164091.3989381144|-164090.6926407274
3.0|1.0|0.98|0.0|-164228.52709200763|-164227.88385688732|-164227.2658466737|-164226.57216174004
3.2|1.0|0.98|0.0|-164330.04478621623|-164329.30065146924|-164328.59435408222|-164327.8123819752
3.4|1.0|0.98|0.0|-164321.8932233734|-164321.23737579974|-164320.58152822612|-164319.8752308391
3.6|1.0|0.98|0.0|-164213.4986024079|-164212.98149182097|-164212.48960614076|-164211.94727064716
3.8|1.0|0.98|0.0|-164281.78818427713|-164281.0062121701|-164280.24946496976|-164279.44226795604
4.0|1.0|0.98|0.0|-164444.35234485465|-164444.12532069455|-164443.89829653446|-164443.63343501434
4.2|1.0|0.98|0.0|-164230.26946222084|-164229.60100219387|-164228.95776707356|-164228.25146968657
4.4|1.0|0.98|0.0|-164284.67459928434|-164284.24577587078|-164283.84217736393|-164283.3502916837
4.6|1.0|0.98|0.0|-163890.62443319833|-163890.0316478914|-163889.47669994444|-163888.85868973084
4.8|1.0|0.98|0.0|-164268.0524302418|-164267.27045813476|-164266.5137109344|-164265.71912637405
5.0|1.0|0.98|0.0|-164198.7235536809|-164198.37040498742|-164198.0424812006|-164197.6262702404
5.2|1.0|0.98|0.0|-164023.12076188475|-164022.18744033764|-164021.25411879056|-164020.27034743008
5.4|1.0|0.98|0.0|-163992.52800816292|-163991.9099979493|-163991.31721264237|-163990.64875261535
5.6|1.0|0.98|0.0|-164025.4165763859|-164025.10126505245|-164024.823791079|-164024.48325483882
5.8|1.0|0.98|0.0|-163981.8858740104|-163981.02822718336|-163980.1705803563|-163979.2750961692
6.0|1.0|0.98|0.0|-164060.0434124323|-164059.4632395787|-164058.8956791784|-164058.26505651145
6.2|1.0|0.98|0.0|-163811.27538276967|-163810.87178426282|-163810.49341066263|-163810.0519747958
6.4|1.0|0.98|0.0|-164134.8591112637|-164134.53118747688|-164134.22848859674|-164133.85011499657
6.6|1.0|0.98|0.0|-163797.89219539997|-163797.3876972664|-163796.90842403952|-163796.36608854594
6.8|1.0|0.98|0.0|-163989.43569370866|-163988.69155896164|-163987.9726491213|-163987.17806456093
7.0|1.0|0.98|0.0|-163904.60987861067|-163904.25672991716|-163903.94141858368|-163903.58826989017
7.2|1.0|0.98|0.0|-163828.25480429875|-163827.6872438985|-163827.1196834982|-163826.48906083126
7.4|1.0|0.98|0.0|-164216.8958132417|-164216.56788945486|-164216.29041548137|-164215.9372667879
7.6|1.0|0.98|0.0|-164065.74905544694|-164065.09320787332|-164064.46258520635|-164063.75628781933
7.8|1.0|0.98|0.0|-164394.72873654895|-164394.2873006821|-164393.83325236186|-164393.3287542283
8.0|1.0|0.98|0.0|-164059.6059488911|-164059.32847491765|-164059.03838849085|-164058.72307715737
8.2|1.0|0.98|0.0|-164137.63473807048|-164137.33203919034|-164137.0293403102|-164136.67619161672
8.4|1.0|0.98|0.0|-164155.8447047953|-164155.41588138178|-164154.9996704216|-164154.5582345547
8.6|1.0|0.98|0.0|-163743.49315532309|-163743.49315532309|-163743.51838022977|-163743.49315532309
8.8|1.0|0.98|0.0|-164032.60842321784|-164031.71293903078|-164030.85529220372|-164029.93458310992
9.0|1.0|0.98|0.0|-164124.2631216339|-164123.8721355804|-164123.50637443355|-164123.1027759267
9.2|1.0|0.98|0.0|-163891.86956674344|-163891.08759463642|-163890.33084743604|-163889.511037969
9.4|1.0|0.98|0.0|-164257.5872836006|-164257.10801037372|-164256.64134960016|-164256.11162655993
9.6|1.0|0.98|0.0|-164384.99225531617|-164384.41208246254|-164383.8445220623|-164383.22651184868
9.8|1.0|0.98|0.0|-164753.2269700861|-164752.69724704587|-164752.20536136563|-164751.6504134187
10.0|1.0|0.98|0.0|-164423.94012790822|-164423.49869204132|-164423.06986862782|-164422.56537049427
10.2|1.0|0.98|0.0|-164664.95149876722|-164664.0686270335|-164663.2109802064|-164662.30288356598
10.4|1.0|0.98|0.0|-164193.11764587503|-164192.6635975548|-164192.22216168794|-164191.73027600773
10.6|1.0|0.98|0.0|-164503.0056244195|-164502.94256215275|-164502.89211233938|-164502.7786002593
10.8|1.0|0.98|0.0|-164544.4135862467|-164543.9595379265|-164543.5433269663|-164543.05144128605
11.0|1.0|0.98|0.0|-164492.19173160853|-164491.68723347498|-164491.20796024805|-164490.66562475447
11.2|1.0|0.98|0.0|-164556.4304567454|-164555.74938426507|-164555.11876159813|-164554.4376891178
11.4|1.0|0.98|0.0|-164269.14218492372|-164268.70074905685|-164268.28453809666|-164267.80526486976
11.6|1.0|0.98|0.0|-164396.2467618489|-164395.37650256848|-164394.51885574145|-164393.59814664765
11.8|1.0|0.98|0.0|-164427.13520048038|-164426.4415155467|-164425.74783061305|-164425.01630831938
12.0|1.0|0.98|0.0|-164639.07295021013|-164638.75763887665|-164638.4801649032|-164638.11440375636
12.2|1.0|0.98|0.0|-164311.868073231|-164311.23745056402|-164310.63205280373|-164309.96359277674
12.4|1.0|0.98|0.0|-164708.34560081465|-164707.53840380095|-164706.7564316939|-164705.92400977353
12.6|1.0|0.98|0.0|-164434.95255034932|-164434.271477869|-164433.57779293536|-164432.84627064166
12.8|1.0|0.98|0.0|-164631.29948589616|-164630.7319254959|-164630.17697754895|-164629.584192242
13.0|1.0|0.98|0.0|-164648.76383168506|-164648.05753429807|-164647.35123691108|-164646.60710216407
13.2|1.0|0.98|0.0|-164610.39937363297|-164610.09667475283|-164609.80658832603|-164609.4660520859
13.4|1.0|0.98|0.0|-164542.85274364453|-164542.19689607088|-164541.60411076393|-164540.93565073694
13.6|1.0|0.98|0.0|-164522.77817879367|-164522.0466565|-164521.340359113|-164520.58361191262
13.8|1.0|0.98|0.0|-164675.96925977524|-164675.47737409503|-164674.99810086816|-164674.45576537456
14.0|1.0|0.98|0.0|-164248.2742966268|-164247.60583659983|-164246.97521393286|-164246.26891654587
14.2|1.0|0.98|0.0|-164342.07847729852|-164341.34695500485|-164340.64065761783|-164339.87129796416
14.4|1.0|0.98|0.0|-164204.37817078072|-164203.6970983004|-164203.0412507268|-164202.30972843312
14.6|1.0|0.98|0.0|-164126.00034884005|-164125.74809977322|-164125.49585070644|-164125.21837673298
14.8|1.0|0.98|0.0|-164628.06756446938|-164627.77747804255|-164627.48739161578|-164627.15946782893
15.0|1.0|0.98|0.0|-164539.67949146818|-164539.20021824128|-164538.7587823744|-164538.2416717875
15.2|1.0|0.98|0.0|-164629.02757659464|-164628.6239780878|-164628.23299203426|-164627.77894371407
15.4|1.0|0.98|0.0|-164383.26131082675|-164382.8829372266|-164382.50456362643|-164382.10096511955
15.6|1.0|0.98|0.0|-164493.90117769106|-164493.05614331734|-164492.22372139696|-164491.32823720988
15.8|1.0|0.98|0.0|-164361.7366613497|-164361.53486209628|-164361.3456752962|-164361.10603868274
16.0|1.0|0.98|0.0|-164195.72188799645|-164195.62098836974|-164195.5453136497|-164195.4191891163
16.2|1.0|0.98|0.0|-164219.24430301867|-164218.9416041385|-164218.63890525835|-164218.31098147156
16.4|1.0|0.98|0.0|-164354.98167684453|-164354.85555231114|-164354.7798775911|-164354.62852815102
16.6|1.0|0.98|0.0|-164195.29907139076|-164194.63061136377|-164193.97476379012|-164193.2558539498
16.8|1.0|0.98|0.0|-164003.9555417816|-164004.0312165016|-164004.1321161283|-164004.157341035
17.0|1.0|0.98|0.0|-164341.4414879352|-164341.02527697498|-164340.62167846813|-164340.16763014795
17.2|1.0|0.98|0.0|-163853.30018287594|-163852.45514850222|-163851.62272658185|-163850.7398548481
17.4|1.0|0.98|0.0|-164459.5716228042|-164459.117574484|-164458.6635261638|-164458.18425293692
17.6|1.0|0.98|0.0|-164165.47443584047|-164164.6420139201|-164163.83481690637|-164162.9771700793
17.8|1.0|0.98|0.0|-164437.7324147881|-164437.36665364128|-164437.03872985445|-164436.6351313476
18.0|1.0|0.98|0.0|-164238.7760431116|-164238.17064535135|-164237.59047249774|-164236.94723737743
18.2|1.0|0.98|0.0|-164488.18475071338|-164487.9703390066|-164487.78115220653|-164487.54151559307
18.4|1.0|0.98|0.0|-164567.85097616154|-164567.52305237472|-164567.22035349457|-164566.8419798944
18.6|1.0|0.98|0.0|-164512.1553135752|-164511.94090186842|-164511.776939975|-164511.54991581492
18.8|1.0|0.98|0.0|-164513.84243290522|-164513.1865853316|-164512.54335021132|-164511.84966527764
19.0|1.0|0.98|0.0|-164218.75823715248|-164218.58166280572|-164218.4177009123|-164218.19067675222
19.2|1.0|0.98|0.0|-164248.05089467522|-164247.58423390167|-164247.14279803482|-164246.6256874479
19.4|1.0|0.98|0.0|-164211.42433017815|-164211.121631298|-164210.8315448712|-164210.49100863104
19.6|1.0|0.98|0.0|-164303.86086950914|-164303.40682118895|-164302.9779977754|-164302.48611209518
