times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)
0.0|1.0|0.0|0.0|0|4.080128655201988|8.160257310403976
0.2|1.0|0.0|0.0|0|4.994531522305915|9.98906304461183
0.4|1.0|0.0|0.0|0|4.124272242009174|8.248544484018348
0.6|1.0|0.0|0.0|0|4.426971122073592|8.853942244147184
0.8|1.0|0.0|0.0|0|4.805344722200535|9.61068944440107
1.0|1.0|0.0|0.0|0|4.685526415426284|9.371052830852568
1.2|1.0|0.0|0.0|0|4.338683948806138|8.677367897612276
1.4|1.0|0.0|0.0|0|4.805344722226145|9.61068944445229
1.6|1.0|0.0|0.0|0|4.452196028789622|8.904392057579244
1.8|1.0|0.0|0.0|0|4.363908855317859|8.727817710635717
2.0|1.0|0.0|0.0|0|4.458502255355125|8.91700451071025
2.2|1.0|0.0|0.0|0|4.483727162043797|8.967454324087594
2.4|1.0|0.0|0.0|0|4.6476890554680725|9.295378110936145
2.6|1.0|0.0|0.0|0|5.000837748933118|10.001675497866236
2.8|1.0|0.0|0.0|0|4.805344722200535|9.61068944440107
3.0|1.0|0.0|0.0|0|4.969306615588721|9.938613231177442
3.2|1.0|0.0|0.0|0|4.8179571754852075|9.635914350970415
3.4|1.0|0.0|0.0|0|4.786426042164094|9.572852084328188
3.6|1.0|0.0|0.0|0|4.578320562088047|9.156641124176094
3.8|1.0|0.0|0.0|0|4.029678841862478|8.059357683724956
4.0|1.0|0.0|0.0|0|4.332377722089295|8.66475544417859
4.2|1.0|0.0|0.0|0|4.502645842122729|9.005291684245458
4.4|1.0|0.0|0.0|0|4.761201135516167|9.522402271032334
4.6|1.0|0.0|0.0|0|4.21255941534706|8.42511883069412
4.8|1.0|0.0|0.0|0|4.199946961928508|8.399893923857016
5.0|1.0|0.0|0.0|0|4.199946961966344|8.399893923932687
5.2|1.0|0.0|0.0|0|4.054903748414945|8.10980749682989
5.4|1.0|0.0|0.0|0|4.742282455560053|9.484564911120106
5.6|1.0|0.0|0.0|0|3.9729228018724827|7.945845603744965
5.8|1.0|0.0|0.0|0|4.584626788811875|9.16925357762375
