times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)|(1.0, 0.06, 0.0)
0.0|1.0|0.02|0.0|0|3.805177172573167|7.610354345146334|11.4155315177195
0.2|1.0|0.02|0.0|0|4.332377722098609|8.664755444197217|12.997133166295825
0.4|1.0|0.02|0.0|0|4.226433114019455|8.45286622803891|12.679299342058366
0.6|1.0|0.02|0.0|0|4.208775679302635|8.41755135860527|12.626327037907904
0.8|1.0|0.02|0.0|0|4.4231873860821365|8.846374772164273|13.269562158246409
1.0|1.0|0.02|0.0|0|4.32165713666298|8.64331427332596|12.964971409988939
1.2|1.0|0.02|0.0|0|4.81354281696782|9.62708563393564|14.440628450903459
1.4|1.0|0.02|0.0|0|4.502645842079655|9.00529168415931|13.507937526238965
1.6|1.0|0.02|0.0|0|4.846335195637075|9.69267039127415|14.539005586911225
1.8|1.0|0.02|0.0|0|4.159587111276342|8.319174222552684|12.478761333829024
2.0|1.0|0.02|0.0|0|4.160217733959435|8.32043546791887|12.480653201878303
2.2|1.0|0.02|0.0|0|4.624356016907259|9.248712033814519|13.873068050721777
2.4|1.0|0.02|0.0|0|4.6016536008781985|9.203307201756397|13.804960802634595
2.6|1.0|0.02|0.0|0|4.080128655309091|8.160257310618181|12.24038596592727
2.8|1.0|0.02|0.0|0|4.712643190114759|9.425286380229519|14.137929570344276
3.0|1.0|0.02|0.0|0|5.249303079832462|10.498606159664924|15.747909239497384
3.2|1.0|0.02|0.0|0|5.0014683716680155|10.002936743336031|15.004405115004046
3.4|1.0|0.02|0.0|0|4.386611271509901|8.773222543019802|13.159833814529701
3.6|1.0|0.02|0.0|0|4.384088780712337|8.768177561424674|13.152266342137008
3.8|1.0|0.02|0.0|0|4.365170100772521|8.730340201545042|13.09551030231756
4.0|1.0|0.02|0.0|0|4.128055977933691|8.256111955867382|12.384167933801072
4.2|1.0|0.02|0.0|0|4.530393239542027|9.060786479084054|13.59117971862608
4.4|1.0|0.02|0.0|0|4.505798955435166|9.011597910870332|13.517396866305498
4.6|1.0|0.02|0.0|0|4.745435568971443|9.490871137942886|14.236306706914329
4.8|1.0|0.02|0.0|0|4.600392355487566|9.200784710975132|13.801177066462696
5.0|1.0|0.02|0.0|0|4.480574048940325|8.96114809788065|13.441722146820975
5.2|1.0|0.02|0.0|0|4.5934555061935685|9.186911012387137|13.780366518580703
5.4|1.0|0.02|0.0|0|4.423187386141508|8.846374772283015|13.269562158424524
5.6|1.0|0.02|0.0|0|4.964892257020693|9.929784514041385|14.894676771062077
5.8|1.0|0.02|0.0|0|4.8621007624157935|9.724201524831587|14.586302287247381
6.0|1.0|0.02|0.0|0|4.635076602242188|9.270153204484377|13.905229806726565
6.2|1.0|0.02|0.0|0|5.113719206329551|10.227438412659103|15.341157618988653
6.4|1.0|0.02|0.0|0|4.469853463548352|8.939706927096704|13.409560390645055
6.6|1.0|0.02|0.0|0|4.216343151305919|8.432686302611838|12.649029453917755
6.8|1.0|0.02|0.0|0|4.51904203158454|9.03808406316908|13.55712609475362
7.0|1.0|0.02|0.0|0|4.19490198057727|8.38980396115454|12.584705941731809
7.2|1.0|0.02|0.0|0|4.657779018275906|9.315558036551812|13.973337054827716
7.4|1.0|0.02|0.0|0|3.9741840472229524|7.948368094445905|11.922552141668856
7.6|1.0|0.02|0.0|0|4.131839713871596|8.263679427743192|12.395519141614786
7.8|1.0|0.02|0.0|0|4.221388132678694|8.442776265357388|12.664164398036082
8.0|1.0|0.02|0.0|0|3.9249954791873463|7.8499909583746925|11.774986437562038
8.2|1.0|0.02|0.0|0|4.536699466056889|9.073398932113777|13.610098398170667
8.4|1.0|0.02|0.0|0|4.3834581581351815|8.766916316270363|13.150374474405544
8.6|1.0|0.02|0.0|0|4.725886266395682|9.451772532791365|14.177658799187046
8.8|1.0|0.02|0.0|0|3.9331935737701134|7.866387147540227|11.79958072131034
9.0|1.0|0.02|0.0|0|4.025264483301434|8.050528966602869|12.075793449904303
9.2|1.0|0.02|0.0|0|4.112921033952152|8.225842067904304|12.338763101856456
9.4|1.0|0.02|0.0|0|3.744006773699075|7.48801354739815|11.232020321097224
9.6|1.0|0.02|0.0|0|4.097155467265402|8.194310934530805|12.291466401796205
9.8|1.0|0.02|0.0|0|4.3878725168126405|8.775745033625281|13.16361755043792
10.0|1.0|0.02|0.0|0|3.8499513819109414|7.699902763821883|11.549854145732825
10.2|1.0|0.02|0.0|0|3.962202216650476|7.924404433300952|11.886606649951426
10.4|1.0|0.02|0.0|0|4.29327911674045|8.5865582334809|12.87983735022135
10.6|1.0|0.02|0.0|0|4.568861222107662|9.137722444215324|13.706583666322985
10.8|1.0|0.02|0.0|0|4.265531719364226|8.531063438728452|12.796595158092677
11.0|1.0|0.02|0.0|0|4.326702118158574|8.653404236317147|12.98010635447572
11.2|1.0|0.02|0.0|0|4.271837946012965|8.54367589202593|12.815513838038896
11.4|1.0|0.02|0.0|0|4.150758394041332|8.301516788082663|12.452275182123994
11.6|1.0|0.02|0.0|0|4.37462944081286|8.74925888162572|13.123888322438578
11.8|1.0|0.02|0.0|0|4.553726278166287|9.107452556332573|13.661178834498859
12.0|1.0|0.02|0.0|0|4.626878507537185|9.25375701507437|13.880635522611556
12.2|1.0|0.02|0.0|0|5.0796655824146|10.1593311648292|15.2389967472438
12.4|1.0|0.02|0.0|0|4.50264584221819|9.00529168443638|13.507937526654567
12.6|1.0|0.02|0.0|0|4.68426517031563|9.36853034063126|14.052795510946888
12.8|1.0|0.02|0.0|0|4.172199564724578|8.344399129449156|12.516598694173735
13.0|1.0|0.02|0.0|0|4.372737572730984|8.745475145461969|13.118212718192954
13.2|1.0|0.02|0.0|0|4.291387248843093|8.582774497686186|12.87416174652928
13.4|1.0|0.02|0.0|0|4.448412292837165|8.89682458567433|13.345236878511495
13.6|1.0|0.02|0.0|0|4.764984871570487|9.529969743140974|14.29495461471146
13.8|1.0|0.02|0.0|0|4.473006576892222|8.946013153784444|13.419019730676663
14.0|1.0|0.02|0.0|0|4.9989458809827925|9.997891761965585|14.996837642948375
14.2|1.0|0.02|0.0|0|4.409313687453396|8.818627374906791|13.227941062360186
14.4|1.0|0.02|0.0|0|4.4212955180939755|8.842591036187951|13.263886554281925
14.6|1.0|0.02|0.0|0|4.563185618227581|9.126371236455162|13.689556854682742
14.8|1.0|0.02|0.0|0|4.339314571541036|8.678629143082071|13.017943714623106
15.0|1.0|0.02|0.0|0|4.345620798027376|8.691241596054752|13.036862394082126
15.2|1.0|0.02|0.0|0|4.187965131240198|8.375930262480397|12.563895393720594
15.4|1.0|0.02|0.0|0|4.587149279502919|9.174298559005837|13.761447838508756
15.6|1.0|0.02|0.0|0|4.233369963412406|8.466739926824811|12.700109890237217
15.8|1.0|0.02|0.0|0|4.700030736893532|9.400061473787064|14.100092210680595
16.0|1.0|0.02|0.0|0|4.314720287470846|8.629440574941691|12.944160862412536
