times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.24, 0.0)|(1.0, 0.26, 0.0)|(1.0, 0.28, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.32, 0.0)
0.0|1.0|0.28|0.0|0|3.4457222522981494|6.891444504596299|10.337166756894439|13.782889009192589
0.2|1.0|0.28|0.0|0|3.122843446766495|6.24568689353299|9.368530340299476|12.491373787065971
0.4|1.0|0.28|0.0|0|3.4457222519716044|6.891444503943209|10.337166755914804|13.782889007886409
0.6|1.0|0.28|0.0|0|2.938701627841804|5.877403255683608|8.816104883525403|11.754806511367208
0.8|1.0|0.28|0.0|0|3.033295028328433|6.066590056656866|9.099885084985289|12.133180113313722
1.0|1.0|0.28|0.0|0|3.2477067349833697|6.495413469966739|9.7431202049501|12.99082693993347
1.2|1.0|0.28|0.0|0|3.4747308947541784|6.949461789508357|10.424192684262525|13.898923579016703
1.4|1.0|0.28|0.0|0|2.741947356263411|5.483894712526822|8.225842068790225|10.967789425053637
1.6|1.0|0.28|0.0|0|3.2086081293877244|6.417216258775449|9.625824388163164|12.834432517550889
1.8|1.0|0.28|0.0|0|3.895986836550877|7.791973673101754|11.687960509652621|15.583947346203498
2.0|1.0|0.28|0.0|0|3.2666254146781313|6.533250829356263|9.799876244034385|13.066501658712516
2.2|1.0|0.28|0.0|0|3.27293164153118|6.54586328306236|9.818794924593531|13.09172656612471
2.4|1.0|0.28|0.0|0|3.110230993499284|6.220461986998568|9.330692980497842|12.440923973997126
2.6|1.0|0.28|0.0|0|2.7545598091982564|5.509119618396513|8.263679427594761|11.018239236793017
2.8|1.0|0.28|0.0|0|3.2956340579286945|6.591268115857389|9.886902173786074|13.182536231714769
3.0|1.0|0.28|0.0|0|3.194734431065156|6.389468862130312|9.58420329319546|12.778937724260615
3.2|1.0|0.28|0.0|0|3.700493810004558|7.400987620009116|11.101481430013663|14.801975240018221
3.4|1.0|0.28|0.0|0|3.5516668604291075|7.103333720858215|10.655000581287313|14.206667441716421
3.6|1.0|0.28|0.0|0|2.7293349025357774|5.458669805071555|8.188004707607323|10.9173396101431
3.8|1.0|0.28|0.0|0|3.1215822012233576|6.243164402446715|9.364746603670064|12.486328804893422
4.0|1.0|0.28|0.0|0|2.8504144547530474|5.700828909506095|8.551243364259134|11.401657819012183
4.2|1.0|0.28|0.0|0|2.9323954018001706|5.864790803600341|8.797186205400504|11.729581607200673
4.4|1.0|0.28|0.0|0|3.2565354521421277|6.513070904284255|9.769606356426374|13.026141808568502
4.6|1.0|0.28|0.0|0|3.1922119404241704|6.384423880848341|9.576635821272502|12.768847761696673
4.8|1.0|0.28|0.0|0|3.737069924534302|7.474139849068604|11.211209773602896|14.948279698137197
5.0|1.0|0.28|0.0|0|3.2123918657697534|6.424783731539507|9.63717559730925|12.849567463079005
5.2|1.0|0.28|0.0|0|3.7408536607160965|7.481707321432193|11.222560982148279|14.963414642864375
5.4|1.0|0.28|0.0|0|2.9954576683620715|5.990915336724143|8.986373005086206|11.981830673448279
5.6|1.0|0.28|0.0|0|3.1014022760867404|6.202804552173481|9.304206828260211|12.405609104346953
5.8|1.0|0.28|0.0|0|3.324642700256084|6.649285400512168|9.973928100768244|13.298570801024328
6.0|1.0|0.28|0.0|0|3.1934731854818557|6.386946370963711|9.580419556445559|12.773892741927414
6.2|1.0|0.28|0.0|0|3.013115103022431|6.026230206044862|9.039345309067285|12.052460412089715
6.4|1.0|0.28|0.0|0|3.100141030991802|6.200282061983604|9.300423092975397|12.400564123967198
6.6|1.0|0.28|0.0|0|3.3624800599803013|6.724960119960603|10.087440179940895|13.449920239921196
6.8|1.0|0.28|0.0|0|3.0332950282195843|6.066590056439169|9.099885084658744|12.133180112878328
7.0|1.0|0.28|0.0|0|2.8983417773706632|5.7966835547413265|8.695025332111982|11.593367109482644
7.2|1.0|0.28|0.0|0|2.9778002334828515|5.955600466965703|8.933400700448546|11.911200933931397
7.4|1.0|0.28|0.0|0|3.232571791154917|6.465143582309834|9.697715373464744|12.93028716461966
7.6|1.0|0.28|0.0|0|2.8100546038569907|5.620109207713981|8.430163811570964|11.240218415427956
